Word,Freq_NoWaC,Freq_CDS
367,'girl',159199.0,30.0
368,'clown',2462.0,7.0
369,'teacher',74910.0,12.0
370,'mommy',36751.0,171.0
371,'man',315581.0,18.0
372,'people',289792.0,9.0
373,'(maternal) grandfather',1736.0,1.0
374,'(maternal) grandmother',2860.0,1.0
375,'pet's name',,
376,'great-grandfather',1234.0,1.0
377,'great-grandmother',1194.0,1.0
378,'uncle',9753.0,6.0
379,'daddy',24689.0,118.0
380,'police',89536.0,7.0
381,'mailman',375.0,4.0
382,'sister',20446.0,1.0
383,'aunt',8489.0,6.0
384,'friend',240567.0,8.0
385,'(female) friend',19939.0,2.0
386,''gonna get you' game',73.0,1.0
387,'bathe',8123.0,16.0
388,'breakfast',15287.0,1.0
389,'go to the bathroom',1252.0,1.0
390,'good night',2520.0,1.0
391,'bye',467.0,6.0
392,'hello',3699.0,61.0
393,'shop',109640.0,2.0
394,'hi',64086.0,74.0
395,'hush',353.0,1.0
396,'not',5202279.0,893.0
397,'yes',158496.0,3291.0
398,'yes',589490.0,120.0
399,'patty cake',3.0,1.0
400,'supper',1590.0,1.0
401,'peek-a-boo',5.0,27.0
402,'lunch',12285.0,1.0
403,'dinner',27049.0,6.0
404,'no',136554.0,470.0
405,call (on phone)',45240.0,23.0
406,'turn around',565.0,1.0
407,'nap time',55.0,1.0
408,'this big!',46.0,1.0
409,'thank you',106589.0,106.0
410,'please',3787.0,1.0
411,'wait',9678.0,10.0
412,'wanna/want to',1848716.0,138.0
413,'work',192166.0,1.0
414,'bite',17348.0,7.0
415,'blow',19567.0,16.0
416,'brawl',2476.0,22.0
417,'build',172286.0,19.0
418,'carry',44847.0,10.0
419,'dance',21390.0,20.0
420,'share',111880.0,7.0
421,'drink',43156.0,27.0
422,'push',7857.0,6.0
423,'love',3733.0,1.0
424,'catch',26887.0,13.0
425,'fall',108342.0,28.0
426,'find',551966.0,136.0
427,'hurry',152.0,7.0
428,'get',2396707.0,287.0
429,'give',891875.0,19.0
430,'hide',12187.0,15.0
431,'finish',625.0,1.0
432,'slide',17619.0,1.0
433,'cry',13366.0,7.0
434,'walk',1297942.0,312.0
435,'have',8429287.0,1174.0
436,'hate',25992.0,1.0
437,'pour',8838.0,5.0
438,'get',95263.0,42.0
439,'help',144856.0,34.0
440,'hold',372390.0,43.0
441,'watch',818.0,1.0
442,'jump',31778.0,24.0
443,'swing',,
444,'hear',233345.0,56.0
445,'listen',803.0,1.0
446,'follow',5656.0,1.0
447,'throw',68891.0,29.0
448,'tickle',1701.0,3.0
449,'buy',255029.0,13.0
450,'drive',145844.0,89.0
451,'clap',5766.0,3.0
452,'climb',10674.0,15.0
453,'hug',7732.0,4.0
454,'dress',2010.0,1.0
455,cost/sweep',,
456,'kiss',11868.0,2.0
457,'cook',3671.0,1.0
458,'pretend',5519.0,1.0
459,'put',14269.0,38.0
460,'put',629383.0,63.0
461,'toy',26869.0,69.0
462,'read',264653.0,77.0
463,'like',153782.0,28.0
464,'close',18704.0,20.0
465,'run',48219.0,49.0
466,'paint',23491.0,41.0
467,'feed',4581.0,2.0
468,'loose',87531.0,13.0
469,'repair',6683.0,8.0
470,'fit',89523.0,38.0
471,'splash',756.0,1.0
472,'try',223301.0,67.0
473,'breathe',11258.0,7.0
474,'ride',22478.0,8.0
475,'shake',8566.0,2.0
476,'rip',1250.0,1.0
477,'tidy',22236.0,9.0
478,'touch',12537.0,4.0
479,'look',1566932.0,933.0
480,'look at',152869.0,1.0
481,'put',416323.0,79.0
482,'say',1464840.0,387.0
483,'sit',224252.0,193.0
484,'cut',10296.0,5.0
485,'slip',6534.0,5.0
486,'write',648363.0,3.0
487,'hurry',940.0,7.0
488,'lick',8204.0,2.0
489,'finish',68314.0,3.0
490,'hit',186927.0,30.0
491,'taste',23745.0,9.0
492,'smile',29058.0,2.0
493,'talk',184454.0,29.0
494,'sleep',40794.0,51.0
495,'kick',17049.0,9.0
496,'play',306904.0,41.0
497,'eat',104732.0,115.0
498,'sting',36577.0,6.0
499,'stop',72269.0,6.0
500,'stand',523907.0,145.0
501,'sing',47677.0,32.0
502,'swim',7226.0,4.0
503,'spill',1123.0,2.0
504,'take',1419661.0,296.0
505,'draw',25212.0,114.0
506,'think',311411.0,42.0
507,'meet',56006.0,2.0
508,'go',148743.0,5.0
509,'dry',9544.0,16.0
510,'wash',19396.0,10.0
511,'wait',129451.0,8.0
512,'hurt oneself',9539.0,1.0
513,'show',470932.0,63.0
514,'overturn',5760.0,16.0
515,'be fond of',9388.0,1.0
516,'wake',23206.0,2.0
517,'break',51755.0,1.0
518,'wish',328796.0,2.0
519,'open',111606.0,16.0
520,'better',349680.0,1.0
521,'blue',31961.0,32.0
522,'soft/wet',3020.0,2.0
523,'away',56747.0,56.0
524,'good',354111.0,64.0
525,'noisy',614.0,2.0
526,'brown',16214.0,4.0
527,'bad',227001.0,3.0
528,'yucky',8620.0,4.0
529,'fine',240979.0,241.0
530,'careful',32764.0,10.0
531,'first',178986.0,37.0
532,'fast',94174.0,25.0
533,'cheeky',8977.0,2.0
534,'full',211567.0,8.0
535,'old',342030.0,18.0
536,'happy',93604.0,14.0
537,'good',1920301.0,182.0
538,'green',43341.0,18.0
539,'yellow',30966.0,23.0
540,'hard',103135.0,13.0
541,'high',310687.0,29.0
542,'white',70380.0,9.0
543,'cold',45169.0,13.0
544,'sticky',1051.0,1.0
545,'long',517593.0,35.0
546,'sad',2569.0,1.0
547,'small',828607.0,144.0
548,'dark',44729.0,3.0
549,'new',1167123.0,21.0
